weeks	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
1	0.02965	0	0.0192	0.04272	0.10565999999999999	0	0.029410000000000002	0.19257	9.1e-4	0	0
1	0.04929	0	0	0.01208	0.02805	0	0	0.14189000000000002	0.02557	0	0
1	0.02277	0	0.04185	0.32836	0.09017	0.0019399999999999999	0.06674	0.4176	0.04408	0	0
1	0	0	0.03373	83.25203	6.4883	0	0.00109	6.02179	0.00109	0	0
1	0	0	0.0831	0	0	0	0	22.99459	0	0	0
1	0.13660999999999998	0	0.0041600000000000005	0	0.01791	0	0	0.14268	0	0	0
1	0.09376	0	0.00158	0.00149	0	0	0.02889	0.11582999999999999	0	0	0
1	0.045919999999999996	0	0	0.04651	0.00275	0	0.0018600000000000001	0.32131	0	0	0
1	0.07966000000000001	0	0	0.14072	0.02431	0.08678999999999999	0.02733	0.17428	0.02005	0	0
1	0	0	0	0.07564	0.01176	0	0	0.00505	0.00263	0	0
1	0.00634	0	0	0.04079	0.00245	0	0.009940000000000001	0	0	0	0
1	0.04068	0	0	0	0.12247999999999999	0	0	0.13626	0	0	0
1	0	0	0.04965	0	0.40873000000000004	0	0	0.42591999999999997	0	0	0
1	0	0	0	0.88134	0.30959000000000003	0	0	5.90319	0	0	0
1	0	0	0.29901	3.09026	6.25102	0	0	7.18699	3.90781	0	0
1	0	0	0.02462	0.13	0.17027	0	0.00949	0.7498100000000001	0	0	0
1	0.00195	0	0	0	0	0	0	0.08703	0	0	0
1	0	0	0.77533	0	0.58905	0	0	10.26216	0	0	0
1	0	0	0	0	0	0	0	0.00217	0	0	0
1	0.01855	0	0	0.06742999999999999	0	0	0	0.00923	0	0	0
1	0.14034000000000002	0	0	0.040639999999999996	0.15409	0	0.018330000000000003	0.06187	0	0	0
1	0.77622	0	0	1.62161	7.79143	0	6.603960000000001	0.37351999999999996	0	0	0
1	0	0	0	0.19421	0.13509000000000002	0	0	0.020909999999999998	0	0	0
1	0.0018	0	0	0	0	0	0	0.0011300000000000001	0	0	0
1	0	0	0	0.01102	1.73638	0	0	1.6029200000000001	0	0	0
1	0	0	0	0	0.22648000000000001	0	0	0.19147	0	0	0
1	0.01028	0	0	0.12509	0.026950000000000002	0	0.09092	83.28886	0.0057399999999999994	0	0
1	2.3315599999999996	0	0.006659999999999999	0.18891	0.08741	0	0	0.30293000000000003	0.028610000000000003	0	0
1	4.4333	0	0	0.06321	0.08843	0	0	0.49333999999999995	0.21433000000000002	0	0
1	0.04179	0	0	0.028689999999999997	0.03644	0	0	31.47533	0.00144	0	0
1	0	0	0	0	0.33981	0	0.17974	5.08027	0	0	0
1	0.03904	0	0.019180000000000003	0.01085	0.03628	0	0.00296	0.03759	0.055810000000000005	0	0
1	0	0	0	13.07743	0	0	2.5635	2.14511	0	0	0
1	0	0	0	0.62549	0.39444	0.09286	3.2400900000000004	4.8074900000000005	0.06423	0	0
1	0	0	0	0	0.0036	0	0	4.2e-4	0	0	0
1	0.36221	0	0	0.46753999999999996	0	0	0.36408	4.71315	0	0	0
1	10.20502	0	0.0032	11.380939999999999	0.03871	0	0	11.466389999999999	0.02263	0	0
1	0	0	0.85155	0.0695	0.00713	0	9.199999999999999e-4	0.0056700000000000006	4.9e-4	0	0
1	0	0	0.06989	0.00225	0	0	0.00484	0.017490000000000002	0.00301	0	0
1	0	0	0.0030399999999999997	0	0.00611	0	0	0	0	0	0
1	0.20765999999999998	0	2.6000000000000003e-4	0.61219	0.9345	0	0.040510000000000004	46.49535	0.058839999999999996	0	0.060270000000000004
1	0.00275	0	0	0.02915	0.00995	0	0	0.09983	6.3e-4	0	0
1	0	0	0	0.01181	0	0	0.00165	0.04192	0	0	0
1	0	0	0	0.15868	0.02034	0	0.05967000000000001	0.07889	0	0	0
1	0.09391000000000001	0	0	0.03236	0.08344	0	0	0.01265	0.00519	0	0
1	0	0	0	0.00125	0	0	0	0.0019399999999999999	0.00156	0	0
1	0	0	0.0607	0	0	0	0	0.08901	0	0	0
1	0	0	0.13555	0.08635	0.02056	0	0.013569999999999999	0.00902	0	0	0
2	0.12282	0	0	1.10085	0	0	0.24499	0.62497	0	0	0
2	0	0	0	0.01848	0	0	0.01457	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
2	0.09688	0	0	0.02537	0.08656	0	0.19209	0.03258	0	0	0
2	0.27241	0	0	0.06963	0.10317	0	0	0.33269	0.00214	0	0
2	0.01885	0	0	0.07386000000000001	0.04506	0	0	0.5443100000000001	0.02286	0	0
2	0	0	0	0	0	0	1.63097	0.14434	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
