weeks	baby_id	g__Bifidobacterium	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
1	360	1.62129	0.02872	0	0	0.68595	0.1797	0	0.00323	0.61464	0.10905	0	0
1	162	0.4201	0.02965	0	0.0192	0.04272	0.10565999999999999	0	0.029410000000000002	0.19257	9.1e-4	0	0
1	285	0.46498999999999996	0.00147	0	0	0.01468	0.015780000000000002	0	0.00206	0.42995	0.00106	0	0
1	276	0.25688	0.04929	0	0	0.01208	0.02805	0	0	0.14189000000000002	0.02557	0	0
1	270	1.0135100000000001	0.02277	0	0.04185	0.32836	0.09017	0.0019399999999999999	0.06674	0.4176	0.04408	0	0
1	174	95.79804	0	0	0.03373	83.25203	6.4883	0	0.00109	6.02179	0.00109	0	0
1	147	23.07769	0	0	0.0831	0	0	0	0	22.99459	0	0	0
1	138	0.30136	0.13660999999999998	0	0.0041600000000000005	0	0.01791	0	0	0.14268	0	0	0
1	23	1.05293	0.00159	0	0	0.12422000000000001	0.02132	0	0	0.78347	0.12232	0	0
1	382	0	0	0	0	0	0	0	0	0	0	0	0
1	477	14.891229999999998	10.32178	0	0	0.24049	0.00117	0	0	3.32429	1.0035	0	0
1	39	0.24155	0.09376	0	0.00158	0.00149	0	0	0.02889	0.11582999999999999	0	0	0
1	48	0.41834	0.045919999999999996	0	0	0.04651	0.00275	0	0.0018600000000000001	0.32131	0	0	0
1	297	5.62165	0	0	0	0.10635	0.97259	0	0.040139999999999995	4.49671	0.00585	0	0
1	302	1.7189299999999998	0.08885	0	0.044969999999999996	0.70439	0	0	0.00259	0.87813	0	0	0
1	311	23.885189999999998	0.28017	1.8446099999999999	5.9999999999999995e-5	9.61709	7.599999999999999e-4	0	0	12.11887	0.02363	0	0
1	332	0.008020000000000001	0	0	0	0	0	0	0.006229999999999999	0.00179	0	0	0
1	340	12.5868	0.18605	0	0	0.05772000000000001	0.00471	10.44519	0	1.8732400000000002	0.01989	0	0
1	279	0.55314	0.07966000000000001	0	0	0.14072	0.02431	0.08678999999999999	0.02733	0.17428	0.02005	0	0
1	273	0.09508	0	0	0	0.07564	0.01176	0	0	0.00505	0.00263	0	0
1	267	0.059520000000000003	0.00634	0	0	0.04079	0.00245	0	0.009940000000000001	0	0	0	0
1	180	0.29941	0.04068	0	0	0	0.12247999999999999	0	0	0.13626	0	0	0
1	132	0.8843	0	0	0.04965	0	0.40873000000000004	0	0	0.42591999999999997	0	0	0
1	135	7.094119999999999	0	0	0	0.88134	0.30959000000000003	0	0	5.90319	0	0	0
1	141	83.60427	0	0	0.01295	77.5576	0.006640000000000001	0	0	5.95699	0.0701	0	0
1	159	20.7351	0	0	0.29901	3.09026	6.25102	0	0	7.18699	3.90781	0	0
1	165	1.29715	0.25397	0	0	0.17883	0.66364	0	0.030189999999999998	0.15304	0.017490000000000002	0	0
1	126	1.08418	0	0	0.02462	0.13	0.17027	0	0.00949	0.7498100000000001	0	0	0
1	144	39.39006	0	0	0	0.64288	38.39067	0	0	0.35652	0	0	0
1	18	82.80108	0	0	0	0.01823	0.01403	0	0	82.76881999999999	0	0	0
1	45	0.08897999999999999	0.00195	0	0	0	0	0	0	0.08703	0	0	0
1	259	11.62653	0	0	0.77533	0	0.58905	0	0	10.26216	0	0	0
1	357	0.08519	0.038919999999999996	0	0	0	2.9e-4	0	0	0.04548	4.2e-4	0	0
1	363	0.01485	0.00499	0	0	0	0	0	0.009859999999999999	0	0	0	0
1	480	4.3093699999999995	3.77631	0	4e-4	0.15825999999999998	0	0	0.26699	0.10740999999999999	0	0	0
1	483	11.63808	0	0	11.63808	0	0	0	0	0	0	0	0
1	488	8.15063	0	0	0.1861	0.07215	0.0071200000000000005	0	0	7.78945	0.0958	0	0
1	492	0.03083	0.00183	0	0	0.0072299999999999994	0.01583	0	0	0.0018899999999999998	0.00406	0	0
1	519	0.09429	0	0	0	0	0	0	0	0.09429	0	0	0
1	522	0.63766	0	0	0	0	0.06777999999999999	0	0	0.51559	0.05429	0	0
1	530	0.00217	0	0	0	0	0	0	0	0.00217	0	0	0
1	534	32.98238	0	0	0.61141	0.01089	0.00386	0	27.263759999999998	5.09246	0	0	0
1	119	6.79352	0.03814	1.4e-4	0.0039299999999999995	0.11298	0.0041600000000000005	0	0.20828000000000002	6.35323	0.07267	0	0
1	65	0.0196	0	0	0	0	0	0	0.0017699999999999999	0.017830000000000002	0	0	0
1	564	11.0878	9.747910000000001	0	0	0	0	0	0	0.8803	0.45958999999999994	0	0
1	171	0.54328	0.29346	0	0	0	0.0374	0	0.02967	0.18275	0	0	0
1	156	0.09521	0.01855	0	0	0.06742999999999999	0	0	0	0.00923	0	0	0
1	305	69.13651	5.4694	0	0	2.95624	0.08897000000000001	0	1.02817	59.5926	0.00114	0	0
1	308	0.24879	0.02327	0	0.00835	0.09348	0.03715	0	0.00763	0.07892	0	0	0
