weeks	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
1	0.02872	0	0	0.68595	0.1797	0	0.00323	0.61464	0.10905	0	0
1	0.00147	0	0	0.01468	0.015780000000000002	0	0.00206	0.42995	0.00106	0	0
1	0.00159	0	0	0.12422000000000001	0.02132	0	0	0.78347	0.12232	0	0
1	0	0	0	0	0	0	0	0	0	0	0
1	10.32178	0	0	0.24049	0.00117	0	0	3.32429	1.0035	0	0
1	0	0	0	0.10635	0.97259	0	0.040139999999999995	4.49671	0.00585	0	0
1	0.08885	0	0.044969999999999996	0.70439	0	0	0.00259	0.87813	0	0	0
1	0.28017	1.8446099999999999	5.9999999999999995e-5	9.61709	7.599999999999999e-4	0	0	12.11887	0.02363	0	0
1	0	0	0	0	0	0	0.006229999999999999	0.00179	0	0	0
1	0.18605	0	0	0.05772000000000001	0.00471	10.44519	0	1.8732400000000002	0.01989	0	0
1	0	0	0.01295	77.5576	0.006640000000000001	0	0	5.95699	0.0701	0	0
1	0.25397	0	0	0.17883	0.66364	0	0.030189999999999998	0.15304	0.017490000000000002	0	0
1	0	0	0	0.64288	38.39067	0	0	0.35652	0	0	0
1	0	0	0	0.01823	0.01403	0	0	82.76881999999999	0	0	0
1	0.038919999999999996	0	0	0	2.9e-4	0	0	0.04548	4.2e-4	0	0
1	0.00499	0	0	0	0	0	0.009859999999999999	0	0	0	0
1	3.77631	0	4e-4	0.15825999999999998	0	0	0.26699	0.10740999999999999	0	0	0
1	0	0	11.63808	0	0	0	0	0	0	0	0
1	0	0	0.1861	0.07215	0.0071200000000000005	0	0	7.78945	0.0958	0	0
1	0.00183	0	0	0.0072299999999999994	0.01583	0	0	0.0018899999999999998	0.00406	0	0
1	0	0	0	0	0	0	0	0.09429	0	0	0
1	0	0	0	0	0.06777999999999999	0	0	0.51559	0.05429	0	0
1	0	0	0.61141	0.01089	0.00386	0	27.263759999999998	5.09246	0	0	0
1	0.03814	1.4e-4	0.0039299999999999995	0.11298	0.0041600000000000005	0	0.20828000000000002	6.35323	0.07267	0	0
1	0	0	0	0	0	0	0.0017699999999999999	0.017830000000000002	0	0	0
1	9.747910000000001	0	0	0	0	0	0	0.8803	0.45958999999999994	0	0
1	0.29346	0	0	0	0.0374	0	0.02967	0.18275	0	0	0
1	5.4694	0	0	2.95624	0.08897000000000001	0	1.02817	59.5926	0.00114	0	0
1	0.02327	0	0.00835	0.09348	0.03715	0	0.00763	0.07892	0	0	0
1	0	0	0.04086	0.75088	0.029830000000000002	0	0	0.5784199999999999	0.26365	0	0
1	2.7e-4	0	0.028460000000000003	0	0.07318	0	0.03468	0.03773	7.599999999999999e-4	0	0
1	0.01571	0	7.5e-4	0.11490999999999998	0	0	0.01168	0.10052	0	0	0
1	0	0	0	40.510090000000005	0	0	0.0018100000000000002	1.1179299999999999	0	0	0
1	0	0	0.0054600000000000004	0.06942000000000001	0.06042	0	0	1.53415	0.09033	0	0
1	0	0	0	0	3.81661	0	3.98538	6.202459999999999	0	0	0
