weeks	Methanobacteriaceae	Actinomycetaceae	Bifidobacteriaceae	Candidatus_Nanopelagicaceae	Corynebacteriaceae	Corynebacteriales_unclassified	Mycobacteriaceae	Nocardiaceae	Dermabacteraceae	Dermacoccaceae	Microbacteriaceae	Micrococcaceae	Micrococcales_unclassified	Propionibacteriaceae	Atopobiaceae	Coriobacteriaceae	Eggerthellaceae	Bacteroidetes_unclassified	Bacteroidaceae	Barnesiellaceae	Dysgonamonadaceae	Odoribacteraceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Tannerellaceae	Chitinophagaceae	Flavobacteriaceae	Candidatus_Gastranaerophilales_unclassified	Chlamydiaceae	Alicyclobacillaceae	Bacillaceae	Bacillales_unclassified	Listeriaceae	Paenibacillaceae	Staphylococcaceae	Aerococcaceae	Carnobacteriaceae	Enterococcaceae	Lactobacillaceae	Leuconostocaceae	Streptococcaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Eubacteriaceae	Lachnospiraceae	Oscillospiraceae	Peptococcaceae	Peptostreptococcaceae	Ruminococcaceae	Erysipelotrichaceae	Firmicutes_unclassified	Acidaminococcaceae	Selenomonadaceae	Veillonellaceae	Peptoniphilaceae	Tissierellia_unclassified	Fusobacteriaceae	Leptotrichiaceae	Brucellaceae	Rhizobiaceae	Rhodobacteraceae	Rhodospirillales_unclassified	Sphingomonadaceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Oxalobacteraceae	Sutterellaceae	Chromobacteriaceae	Neisseriaceae	Desulfovibrionaceae	Campylobacteraceae	Succinivibrionaceae	Idiomarinaceae	Pseudoalteromonadaceae	Cardiobacteriaceae	Enterobacterales_unclassified	Enterobacteriaceae	Erwiniaceae	Hafniaceae	Morganellaceae	Pectobacteriaceae	Yersiniaceae	Halomonadaceae	Pasteurellaceae	Moraxellaceae	Pseudomonadaceae	Vibrionaceae	Xanthomonadaceae	Proteobacteria_unclassified	Spirochaetaceae	Synergistaceae	Mycoplasmataceae	Akkermansiaceae	Debaryomycetaceae	Saccharomycetaceae	Malasseziaceae	Cryptococcaceae
1	0	0.0018800000000000002	0.4201	0	0.00264	0	0	0	0.00202	0	0	0.03528	0	0.028560000000000002	0	0.01237	0.00477	0	1.1854200000000001	0	0	0	0	0	0	0.00107	0	0	0	0	0	0	0.0021	0	0	96.99953000000001	0	0	0.07549	7.9e-4	3.6e-4	0.058710000000000005	0	0	0.01793	0	0	1.3000000000000002e-4	0.00128	0	0	0	0.31703000000000003	0.01871	0	0	0	0.00856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75941	0	0	0	0	0	0.030119999999999997	0	0	0	0.01574	0	0	0	0	0	0	0	0	0	0
1	0	0	0.25688	0	0	0	0	0.007659999999999999	0	0	0	0	0	0.01475	0	0.00159	2e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00251	0	0	20.975720000000003	0	0	78.27866	0	0	0.02817	0	0	0.030080000000000003	0	0	0	0.08567000000000001	0	0	0	0.012209999999999999	0.01043	0	0	0	0.08512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5e-4	0	0	0.05464	1.1e-4	0	0	0	0	0.09548999999999999	0.00317	6.799999999999999e-4	0	0.0517	0	0	0	0	0	0.00419	0	0	0	0
1	0	0.01905	1.0135100000000001	0	0	0	0	0	0	0	0	0.00126	0	0.00187	0	0.05149	9.9e-4	0	0.07551000000000001	0	0	0	0	0	0	0.00293	0	0	0	0	0	0	0.00139	0	0	49.0416	0	0	0.10822999999999999	0	0	48.8917	0	0	0.04013	0	0	0	0.18189	0	0	0	0.027780000000000003	0.05106	0	0	0	0.08778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-4	0	0	0.3127	0	0	0	0	0	0.04168	0.007790000000000001	0.0021	0	0.03745	0	0	0	0	0	0	0	0	0	0
1	0	0.02657	95.79876999999999	0	0	0	0	0	0	0	0	0.03345	0	9.1e-4	0	0.0074	0	0	0.02119	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0.015080000000000001	0	0	0.006220000000000001	0.00121	0	0.02973	0	0	0.0013	0	0	0	1.8e-4	0	0	0	0.00436	0	0	0	0	1.7763799999999998	0	0	0	0	0	0	0.00307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25336	0	0	0	0	0	0	0.01755	0	0	0	0	0	0	0	0	0.0016699999999999998	0	0	0	0
1	0	0	23.07769	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035539999999999995	0	0	0	0	0	0	0	0	0.30669	0	0	0	0	0	0	0	0	0	5.34514	0	0	12.079180000000001	0	0.31529	3.08224	0	0	3.3079199999999997	0	0	0	12.958169999999999	0	0	0	0.37488	1.47604	0	0	0	6.04344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00946	0	0	8.0072	0	0	0	0	0	12.075560000000001	0	1.2798100000000001	0.07165	8.15837	0.25884	0	0	0	0	1.73688	0	0	0	0
1	0	0	0.30136	0	0	0	0	0	0	0	0	0	0	0.01431	0	0	0	0	0	0	0	0	0	0	0	0.00266	0	0	0	0	0.00331	0	0.00158	0	0	94.28177	0	0	0.93624	0.00486	0.041760000000000005	0.30888000000000004	0	0	0.00302	0	0	0	0.055760000000000004	0	0	0.00607	0.13571	0.16496	0	0	0	0.48095	0	0	0	0	0	0	0	0	0	0	0.00248	0	0	0	0	0	0	0	0	0	0.0317	0	0	0.39015	7.700000000000001e-4	0	0	0	0	1.57388	0.01493	0.044969999999999996	0.00351	1.13134	0.04272	0	0	0	0	0.02035	0	0	0	0
1	0	0	0.24176	0	0	0	0	0	0	0	0	5.4e-4	0	0.03182	0	0	0	0	0.08474	0	0	0	0	0.005679999999999999	0	0.03924	0	0	0	0	2.2999999999999998e-4	0	0.0057	0	0	97.78206	0	0	0.0761	0.02016	0.006229999999999999	0.0461	0	0	0.00198	0	0	0	0.11886	0	0	0	0.00176	0.00251	0	0	0	0.08594	0	0	0	0	0	0	0	0	0	0	8.5e-4	0	0	0	0	0	0	0	0	4.5999999999999996e-4	0.01319	0	0	0.35089000000000004	0.00324	0	0	1e-4	0	0.57865	0	0.01151	0.0016699999999999998	0.41334	0.01615	0	0	0	0	0.05853	0	0	0	0
1	0	0.0011300000000000001	0.41834	0	0	0	0	0	0	0	0	0	0	0.00598	0	0.06825	0	0	0.016390000000000002	0	0	0	0	0.0019100000000000002	0	0.013859999999999999	0	0	0	0	0	0	0	0	0	98.664	0	0	0.04554	0.01755	0.00257	0.022690000000000002	0	0	0	0	0	0	0.08154	0	0	0	0	0	0	0	0	0.08821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00298	0	0	0.26735	4e-4	0	0	0	0	0.14490999999999998	0	0.00775	7.2e-4	0.12082999999999999	0.00337	0	0	0	0	0.00373	0	0	0	0
1	0	0	0.55314	0	0.01311	0	0	0.00242	0	0	0	0	0	0.00387	0	0.05777	0	0	0.0861	0	0	0	0	0	0	0.0057399999999999994	0	0	0	0	0	0	0.00912	0	0	98.64102	0	0	0.24141999999999997	0.00144	0	0.016640000000000002	0	0	0	0	0	2.9999999999999997e-5	0.044410000000000005	0	0	0	0.030260000000000002	0.01065	0	0	0	0.004370000000000001	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.0020399999999999997	0	0	0.08534	0	0	0	0	0	0.1121	0	0	0	0.07495	4.3e-4	0	0	0	0	6.4e-4	0	0	0	0
1	0	0	0.09508	0	0	0	0	0	0	0	0	0	0	0.02696	0	0	0	0	0.0079	0	0.00328	0	0	0	0.00266	0	0	0	0	0	0	0	0	0	0	0.00987	0	0	5.099999999999999e-4	0	0	0.00381	0	0	13.074760000000001	0	0	0	0.00799	0	0	0	0.01851	0	7e-4	0	0	11.38841	0	0	0	0	0	0	0.00707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.35011999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022600000000000003	0	0	5.9999999999999995e-5	0
