weeks	Methanobacteriaceae	Actinomycetaceae	Bifidobacteriaceae	Candidatus_Nanopelagicaceae	Corynebacteriaceae	Corynebacteriales_unclassified	Mycobacteriaceae	Nocardiaceae	Dermabacteraceae	Dermacoccaceae	Microbacteriaceae	Micrococcaceae	Micrococcales_unclassified	Propionibacteriaceae	Atopobiaceae	Coriobacteriaceae	Eggerthellaceae	Bacteroidetes_unclassified	Bacteroidaceae	Barnesiellaceae	Dysgonamonadaceae	Odoribacteraceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Tannerellaceae	Chitinophagaceae	Flavobacteriaceae	Candidatus_Gastranaerophilales_unclassified	Chlamydiaceae	Alicyclobacillaceae	Bacillaceae	Bacillales_unclassified	Listeriaceae	Paenibacillaceae	Staphylococcaceae	Aerococcaceae	Carnobacteriaceae	Enterococcaceae	Lactobacillaceae	Leuconostocaceae	Streptococcaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Eubacteriaceae	Lachnospiraceae	Oscillospiraceae	Peptococcaceae	Peptostreptococcaceae	Ruminococcaceae	Erysipelotrichaceae	Firmicutes_unclassified	Acidaminococcaceae	Selenomonadaceae	Veillonellaceae	Peptoniphilaceae	Tissierellia_unclassified	Fusobacteriaceae	Leptotrichiaceae	Brucellaceae	Rhizobiaceae	Rhodobacteraceae	Rhodospirillales_unclassified	Sphingomonadaceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Oxalobacteraceae	Sutterellaceae	Chromobacteriaceae	Neisseriaceae	Desulfovibrionaceae	Campylobacteraceae	Succinivibrionaceae	Idiomarinaceae	Pseudoalteromonadaceae	Cardiobacteriaceae	Enterobacterales_unclassified	Enterobacteriaceae	Erwiniaceae	Hafniaceae	Morganellaceae	Pectobacteriaceae	Yersiniaceae	Halomonadaceae	Pasteurellaceae	Moraxellaceae	Pseudomonadaceae	Vibrionaceae	Xanthomonadaceae	Proteobacteria_unclassified	Spirochaetaceae	Synergistaceae	Mycoplasmataceae	Akkermansiaceae	Debaryomycetaceae	Saccharomycetaceae	Malasseziaceae	Cryptococcaceae
1	0	0.03489	1.62129	0	0	0	0	0	0	0	0	0	0	0	0	0.04098	0	0	0.31042	0	0	0	0	0	0	7.099999999999999e-4	0	0	0	0	0	0.02451	0.00857	0	0	0.64235	0	0	0.21629	0.25203000000000003	0	0.95826	0	0	0.00873	0	0	0	0.24814	0	0	0	0.03179	0.0179	0	0	0	0.75302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.80636	0	0	0	0	0	0	0.013359999999999999	0	0.010409999999999999	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0.46498999999999996	0	0	0	0	0.0028399999999999996	0	0	0	1.44874	0	0.10655	0	0	0	0	0.02167	0	0	0	0	0.00463	0	0	0	0	0	0	0	0	5.1993	0	0	81.38459	0	0	0.01714	0	3.2e-4	10.42474	0	0	0.13688	0	0	0	0.016730000000000002	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67789	0	0	0	0	0	0.039189999999999996	0	0.03442	0	0.01243	0	0	0	0	0	0	0.00577	0	0	0
1	0	0	1.05293	0	0	0	0	0	0	0	0	0	0	0	0	0.02214	0.02575	0	59.94044	1.10004	0	2.00261	0	0.00199	28.272890000000004	2.6930099999999997	0	0	0.0497	0	0	0	0	0	0	0.008440000000000001	0	0	0	0.00126	0	0	0.03155	0	0.04092	0	0.02164	0.02078	1.01101	5.7e-4	0	0	1.5398399999999999	0.01166	0.32859	0.57833	0	0.046830000000000004	0	0	0	0	0	0	0.015580000000000002	0	0	0	0	0	0	0	0	0	0.18725999999999998	0	0	0	0	0	0	0.30313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69101	0	0	0	0
1	0	10.11843	0	0	0.13473	0	0	0	0	0	0	0.5012	0	63.71946	0	0	0	0	0.21773	0	0	0	0	0.2579	0	0	0	0.05112	0	0	0	0	0	0	0	2.21065	0	0	0	0	0	6.578810000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62852	0	0	0	0	0	0	0	0	0	0	0.36716	0	0	0	0	2.39142	0	0	0	0	0	0	0	11.33469	0	0	0	0	0	0	0.09279	0	0	0	0	0	0	0	0	0	0	0	1.3954	0
1	0	0.00159	14.891229999999998	0	0	0	0	0	0	0	0	0	0	0.00121	0	11.389710000000001	0.36604000000000003	0	13.150220000000001	1.85443	0	0.13912	0	12.113710000000001	15.12149	1.17539	0	0	0	0	0	0	0	0	0	0.050069999999999996	0	0	0	0	0	0.16902	0	0	0.19702999999999998	0	0.40498	0.12237999999999999	3.3819	0	0	0	18.37059	0.032260000000000004	0.77304	0	0	1.2745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23213000000000003	0	0	0	0	0	0	3.5110699999999997	0	0	0	0	0	0	0.00835	0	0	0	0	0	0	0	0	1.26855	0	0	0	0
1	0	0	5.6599699999999995	0	0.24981	0	0	0	9.199999999999999e-4	0	0	0.008459999999999999	0	0	0.011729999999999999	0	0	0	0.00722	0	0	0	0	0	0	0	0	0	0	0	0	0.00302	0	0	0	88.52734	0.10740999999999999	0	0.04487	0.32327	0	4.94468	0	0	0.0018399999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06837	0	0	0	0	0	0.02431	0	0	0.00116	0.01083	0	0	0	0	0	0	0	0	0	0
1	0	0.03254	1.7189299999999998	0	0	0	0	0	0	0	0	0.01831	0	0.0027	0	0	0.00457	0	58.03911	0	0	0	0	0	0	25.63192	0	0	0	0	0	0	0	0	0	0.05535	0	0	0.65272	0.08463999999999999	0	0.19122	0	0	0.15417999999999998	0	0	0	0.01402	0	0	7.3e-4	0	0.09437000000000001	0	0	0	0.40906	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.887369999999999	0	0	0	0	0	0.0028	0	0	0	7.3e-4	0	0	0	0	0	0	0	0	0	0
1	0	0	23.885189999999998	0	0.00853	0	0	0	0	0	0	2.1e-4	0	0	0	0	2.1e-4	0	74.44696	0	0	0	0	0	0	1.57302	0	0	0	0	0	0	0	0	0	0.04988	0	0	0.00324	0	0	0	0	0	0	0	0	0	4e-4	0	0	0	0.00179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00704	0	0	0	0	0	0.015069999999999998	0	0	0	0.00549	0	0	0	0	0	0.00297	0	0	0	0
1	0	0	0.008020000000000001	0	0	0	0	0	0	0	0	0.0025800000000000003	0	0	0	0	0	0	0.07282999999999999	0	0	0	0	0	0	0.00157	0	0	0	0	0	0	0.00206	0	0	0.0071400000000000005	0	0.006679999999999999	33.32212	0	0	0.07272999999999999	0	0	0	0	0	0	0.01826	0	0	0	0.0036	4.3e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.47606	0	0	0	0	0	0.00404	0	0	0	0.0017699999999999999	0	0	0	0	0	0	0	0	0	0
1	0	0.00414	12.5868	0	0.01677	0	0	0	0	0	0	0.01671	0	0	0	0.02878	0	0	17.6947	0	0	0	0	0	0	2.17004	0	0	0	0	0	0	0.40157	0	0	0.71244	0	0	64.83918	0.09591000000000001	0	0.45816	0	0	0	0	0	0	0	0	0	0	0.0017399999999999998	0.00414	0	0	0	0.87985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08719	0	0	0	0	0	0.00128	0	0	0	5.8e-4	0	0	0	0	0	0	0	0	0	0
1	0	0.00118	83.60713	0	0	0	0	0	0	0	0	0.024990000000000002	0	0	0	0	0.00199	0	0.6814899999999999	0	0	0	0	0	0	0.36109	0	0	0	0	0	0	0.00471	0	0	0.00434	0	0	14.977160000000001	3.3e-4	0	0.02001	0	0	5.3e-4	0	0	0	0.00335	0	0	0.04326	0	0.06104	0	0	0	0.05019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037200000000000002	0	0	0	0
1	0	0.0038799999999999998	1.29715	0	0	0	0	0	0	0	0	0.15365	0	4e-4	0	0.01057	0	0	10.31743	0	0	0	0	0	0	0.30945	0	0	0	0	0	0	0.00992	0	0	2.43208	0	0	0.052820000000000006	0	0	2.0577400000000003	0	0	0.0011300000000000001	0	0	0	0.08852	0	0	0.0019100000000000002	0	0	0.017159999999999998	0	0	0.19391	0.00149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.04128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0
1	0	0	39.39006	0	0	0	0	0	0	0	0	0	0	0	0	0.00507	0.18757000000000001	0	6.403919999999999	0	0	0	0	0	0.01293	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0.07687000000000001	0	0.00139	0	0	0	0	0	0	0.31594	0	0	0	0.0149	0	0	0	0	0.00727	0	0	0	0	0	0	0.010029999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.55595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157	0	0	0	0
1	0	0	82.80108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0463	0	0	0	0	0	0.01055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5696899999999999	0	0	0	0	0	0	0	0	0	4.2e-4	0	0	0	0	0	0	0	0	0.00763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.56108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00309	0	0	0	0
1	0	1.4e-4	0.08519	0	0	0	0	0	0	0	0	0.00351	0	0	0	0	0	0	5.33035	0	0	0	0	0	0	9.80664	0	0	0	0	0	0	0	0	0	0.23539000000000002	0	0	0.03778	0.01676	0	0.016730000000000002	0	0	0	0	0	0	0.19037	0	0	0	0.00471	0.00512	0	0.01703	0	0.08978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.13674	0	0	0	0	0	0.012830000000000001	0	0	0	0.010920000000000001	0	0	0	0	0	0	0	0	0	0
1	0	0	0.01485	0	0	0	0	0	0	0	0	0.00168	0	0	0	0	0	0	9.515039999999999	0	0	0	0	0	0.028210000000000002	54.7554	0	0	0	0	0	0	0	0	0	0.21659	0	0	0	0.01781	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0.11139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00448	0	0	0	0	0	0	0	35.28352	0	0	0	0	0	0	0	0	0.01662	0	0	0	0	0	0	0.03204	0	0	0	0
1	0	0.02598	4.31036	0	0	0	0	0	0	0	0	0.0097	0	0.028380000000000002	0	0.0055899999999999995	0	0	84.24710999999999	0	0	0	0	0	0	0.84354	0	0	0	0	0	0	0.01006	0	0	0.29595	0	0	9.62243	0.01974	0	0.02015	0	0	0.008579999999999999	0	0	2.8e-4	0.10528	0	0	0	0.04213	0.00394	0	0	0	0.18332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21429	0	0	0	0	0	0	0.0031899999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0.27351	11.63808	0	0	0	0	0	0	0	0	0.01069	0	0	0.06563	5.9e-4	5.6256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26454	0	0	0.37999	0	0	0.24883000000000002	0	0	0.0424	0	0	0.18125	20.63571	0	0	0.35224	49.80362	1.85411	0	0	0	0.51702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.10621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0.29312	8.15063	0	0	0	0	0	0	0	0	0.17456	0	0	0	0	1.03075	0	0.04938	0	0	0	0	0	0	0	0	0	0	0	0	0.00173	0.05449	0	0	0.01701	0	0.04061	2.71674	0	0	0.59109	0	0	3.3873300000000004	0	0.24713000000000002	0	50.94047	0	0	0.02504	4.019419999999999	10.23573	0	0	0	4.0405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.960510000000001	0	0	0.01284	0	0	0.00134	0.00218	0	0	5.6e-4	0	0	0	0	0	0.00685	0	0	0	0
1	0	0	0.03083	0	0	0	0	0	0	0	0	0	0	0.0035399999999999997	0	0.00119	0	0	0.01653	0	0	0	0	8.699999999999999e-4	0.00173	4.4e-4	0	0	0	0	0	0	0	0	0	1.0926200000000001	0	0	0.00106	0	0	0.0036899999999999997	0	0	0.09802000000000001	0	0	0	0	0	0	0	0.00824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.74053	0	0	0	0	0	0	7.099999999999999e-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0.09429	0	0	0	0	0	0	0	0	0	0	0.13787	0	0	0	0	0.04763	0	0	0	0	0	0	0.0322	0	0	0	0	0	0	0	0	0	0.34247	0	0	96.912	0	0	0.96098	0	0	0	0	0	0	0.07962999999999999	0	0	0	0.24136999999999997	0	0	0	0	0.04963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1019299999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0.63766	0	0	0	0	0	0	0	0	0	0	0	0	7.729480000000001	0.02179	0	28.303729999999998	0	0	0	0	0	0	12.169410000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022719999999999997	0	0	0	0.03453	0	0	0.05878	0	0.0018800000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00458	0	0	0	0	0	0	51.011070000000004	0	0	0	0	0	0	0.00436	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0.01181	32.98238	0	0	0	0	0	0	0	0	0.02535	0	0	0	0	0.4333	0	0	0	0	0	0	0	0.49381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14327	0.01845	0	0.03222	0	0	0.03321	0	0	0	0	0	0	0	0	0	0	0	0	1.0659100000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.76028000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	6.79525	0	0	0	0	0	0	0	0	0.095	0	0	0	0.00314	0.0022199999999999998	0	84.8148	0	0	0	0	0	0	0.00203	0	0	0	0	0	0	0.04188	0	0	0.01466	0	0	7.90959	0.13005999999999998	0	0.06097	0	0	0	0	0	0	0.0043100000000000005	0	0	0	0.00606	0	2.3999999999999998e-4	0	0	0.027889999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07476000000000001	0	0	0	0	0	0	0.00698	0	0	0	0	0	0	0	0	0.01018	0	0	0	0
1	0	0	0.02033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027600000000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06296	0	0	0.027510000000000003	0.015309999999999999	0	0	0	0	0.0047	0	0	0	0.00785	0	0	0	0.01958	0.02659	0	0	0	0.0244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73455	0	0	0	0	0	0	0	98.62414	0	0	0	0	0	0.00309	0.42373999999999995	0	0	0.00249	0	0	0	0	0	0	0	0	0	0
1	0	0	11.0878	0	0	0	0	0	0	0	0	0.00659	0	0	0	3.19082	0.0068	0	23.61616	6.984139999999999	0	0.38619000000000003	0	2.33529	12.11115	5.8118099999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09266	0	0	0	0	0.25474	7.98832	11.47512	0.27016999999999997	0	0	9.53152	0.09714	1.59122	0	0	2.61141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15525	0	0	0	0	0	0	0.043230000000000005	0	0	0	0	0	0	0.35247	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0.56977	0.0020800000000000003	0	0	0	0	0	0	0.01685	0	0	0.17775	0	0	0	0	1.4034799999999998	0	0	0	0	0	0	1.4102	0.00539	0	0	0	0.0273	0	0	0	0	68.79567	0	0	2.30608	0.23631999999999997	0.18877	0.93071	0	0	0.09458	0	0	0	0.08557999999999999	0	0	0	0.21991999999999998	0.01011	0	0	0	0.74637	0	0	0	0	0.02044	0	0	0	0	0	0.03648	0	0	0	0	0	0	0	0	0	0.24866999999999997	0	0	4.19356	0.04193	0	0	0.012070000000000001	0	9.85773	0.01623	0.41026999999999997	0.06911	7.52867	0.25540999999999997	0	0	0	0	0.07947	0	0	0	0
1	0	5.9999999999999995e-5	69.1375	0	0	0	0	0	0	0	0	4.5999999999999996e-4	0	0.03392	2.9999999999999997e-5	13.86581	0	0	15.994179999999998	0	0	0	0	0	0	0.00417	0	0	0	0	0	0	0.00674	0	0	0.17736	0	0	0.09988	0.15259	0	0.10507000000000001	0	0	0.02275	0	0	0	0	0	0	0.022680000000000002	0.00141	0.0036200000000000004	0	0	0	0.14956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016300000000000002	0	0	0	0	0	0	0.20729	0.00636	0	0	0	0	0	0	0.00685	0	0	0	0	0	0	0	0	0	0	0	0
