weeks	family	value
1	B_pseudocatenulatum	1.0342672777005264
2	B_pseudocatenulatum	2.304710365916059
3	B_pseudocatenulatum	44.9204460775196
4	B_pseudocatenulatum	0.007363197404129428
5	B_pseudocatenulatum	0.44960199443000914
6	B_pseudocatenulatum	0.17760848490611247
7	B_pseudocatenulatum	0
8	B_pseudocatenulatum	35.195279192643504
9	B_pseudocatenulatum	20.567286309160448
10	B_pseudocatenulatum	0
11	B_pseudocatenulatum	0.5859947356195742
12	B_pseudocatenulatum	0.01921084195451514
13	B_pseudocatenulatum	2.51364484393487
14	B_pseudocatenulatum	0.04600265766954424
15	B_pseudocatenulatum	0.0027552604913739782
16	B_pseudocatenulatum	0.007353224163038612
17	B_pseudocatenulatum	0
18	B_pseudocatenulatum	0
19	B_pseudocatenulatum	0
20	B_pseudocatenulatum	30.283399411487427
21	B_pseudocatenulatum	0
22	B_pseudocatenulatum	0.05231209644861862
24	B_pseudocatenulatum	19.56326582501296
1	B_longum	57.49837579509015
2	B_longum	21.399969708257775
3	B_longum	50.48073942273835
4	B_longum	78.95559479153927
5	B_longum	20.556377145332906
6	B_longum	22.31563556036091
7	B_longum	38.69482382863654
8	B_longum	11.844528944696778
9	B_longum	45.70217129444673
10	B_longum	99.61654908016493
11	B_longum	0.6623218267711528
12	B_longum	2.256421761159957
13	B_longum	44.275558499659184
14	B_longum	17.3097692916651
15	B_longum	58.37448403977663
16	B_longum	1.1017580870952854
17	B_longum	88.20403694699104
18	B_longum	99.83935497489655
19	B_longum	0.07255427066244327
20	B_longum	33.73493125998199
21	B_longum	41.20603015075377
22	B_longum	6.010670220305261
24	B_longum	0.08879414036906287
1	B_dentium	3.0948189340188836
2	B_dentium	17.802866253771114
3	B_dentium	0.2586482208722446
4	B_dentium	0.0364579866212348
5	B_dentium	12.176051462320515
6	B_dentium	0.05616974597988027
7	B_dentium	0
8	B_dentium	0
9	B_dentium	0
10	B_dentium	0.014920087264269636
11	B_dentium	43.52643031077399
12	B_dentium	0.11419057840658757
13	B_dentium	0.009622156881740418
14	B_dentium	29.848515192068458
15	B_dentium	0.0770239238857233
16	B_dentium	4.329737492047446
17	B_dentium	0.02687681541792216
18	B_dentium	0
19	B_dentium	0.03210155376959265
20	B_dentium	0.15581732081651073
21	B_dentium	46.23115577889447
22	B_dentium	0.28815591072413493
24	B_dentium	0.13896087385951358
1	B_breve	6.208422931491506
2	B_breve	6.029039137749651
3	B_breve	3.395532907751141
4	B_breve	14.712674684843538
5	B_breve	21.260950520930166
6	B_breve	0.9631033406830479
7	B_breve	16.748689292619858
8	B_breve	7.701385004794488
9	B_breve	15.58753572862116
10	B_breve	0.008577880891119282
11	B_breve	49.484822081866334
12	B_breve	95.07866209916703
13	B_breve	0.24043028132772096
14	B_breve	10.059267444490521
15	B_breve	41.15913671794467
16	B_breve	0.4156506711107089
17	B_breve	11.1443441152925
18	B_breve	0.1594510048009475
19	B_breve	98.65921339522032
20	B_breve	3.3801520109840015
21	B_breve	12.562814070351758
22	B_breve	93.08593812595534
24	B_breve	80.20897916075847
1	B_bifidum	27.09194407105846
2	B_bifidum	20.413441346590748
3	B_bifidum	0.6951097821903561
4	B_bifidum	6.09534382745387
5	B_bifidum	41.45627864252285
6	B_bifidum	0.3182532468411602
7	B_bifidum	44.55648687874361
8	B_bifidum	42.687173550988376
9	B_bifidum	14.243500040742497
10	B_bifidum	0.14964052411694134
11	B_bifidum	5.690174299974724
12	B_bifidum	0.4909787312637557
13	B_bifidum	43.51807729086609
14	B_bifidum	14.637821841896933
15	B_bifidum	0
16	B_bifidum	0.009761297573156517
17	B_bifidum	0.6247421222985513
18	B_bifidum	0
19	B_bifidum	0
20	B_bifidum	22.23239449815323
21	B_bifidum	0
22	B_bifidum	0.40752518811936467
24	B_bifidum	0
1	B_animalis	0.5750328228965114
2	B_animalis	27.434657846584603
3	B_animalis	0.007603859953277206
4	B_animalis	0.10635514568487604
5	B_animalis	0.15593479430641285
6	B_animalis	22.631779293199465
7	B_animalis	0
8	B_animalis	0.3946166404338685
9	B_animalis	3.806918193080582
10	B_animalis	0.11708760644944392
11	B_animalis	0.047762965015098253
12	B_animalis	1.1491862670823891
13	B_animalis	9.369951640479563
14	B_animalis	1.9053700003769745
15	B_animalis	0.05765485386427339
16	B_animalis	0.8998669324434355
17	B_animalis	0
18	B_animalis	0.0011940203025077823
19	B_animalis	1.2346237183457491
20	B_animalis	8.822625806596207
21	B_animalis	0
22	B_animalis	0.1294362544538943
24	B_animalis	0
1	B_adolescentis	4.4411096137062165
2	B_adolescentis	4.615315341130046
3	B_adolescentis	0.2419197289750348
4	B_adolescentis	0.08621036645307913
5	B_adolescentis	3.9448054401571437
6	B_adolescentis	53.530271683363836
7	B_adolescentis	0
8	B_adolescentis	2.1770166664429933
9	B_adolescentis	0.09258843394859603
10	B_adolescentis	0.09322482111329855
11	B_adolescentis	0.00200918081287862
12	B_adolescentis	0.8913497209657626
13	B_adolescentis	0.07271528685082441
14	B_adolescentis	25.85475411844536
15	B_adolescentis	0.3289452040373202
16	B_adolescentis	93.235872295566935
17	B_adolescentis	0
18	B_adolescentis	0
19	B_adolescentis	0.001507062001890513
20	B_adolescentis	1.3904004626389306
21	B_adolescentis	0
22	B_adolescentis	0.02596220399339793
24	B_adolescentis	0
1	Other	0.10233658863687828
2	Other	0
3	Other	0
4	Other	0
5	Other	0
6	Other	0.007178644665590079
7	Other	0
8	Other	0
9	Other	0
10	Other	0
11	Other	4.845991662498569e-4
12	Other	0
13	Other	0
14	Other	0.33849945338711507
15	Other	0
16	Other	0
17	Other	0
18	Other	0
19	Other	0
20	Other	2.7922934171315287e-4
21	Other	0
22	Other	0
24	Other	0
