weeks	family	value
1	B_pseudocatenulatum	5.486908471097085
2	B_pseudocatenulatum	0.17206921497145994
3	B_pseudocatenulatum	0.9402272787196457
4	B_pseudocatenulatum	0.028606275105813636
5	B_pseudocatenulatum	14.314648568784754
6	B_pseudocatenulatum	2.8815119188043603
7	B_pseudocatenulatum	0.08141104634839726
9	B_pseudocatenulatum	1.1616357709156544
11	B_pseudocatenulatum	11.530005027727542
12	B_pseudocatenulatum	0.09213975104167586
13	B_pseudocatenulatum	0.10545640329597582
14	B_pseudocatenulatum	2.9749971555552652
15	B_pseudocatenulatum	3.217830721868014
16	B_pseudocatenulatum	0.004124904014924588
17	B_pseudocatenulatum	0.012916931123020293
18	B_pseudocatenulatum	42.67411203743551
19	B_pseudocatenulatum	6.647796164904849
20	B_pseudocatenulatum	0.044131309649182215
21	B_pseudocatenulatum	0.4512015619376344
23	B_pseudocatenulatum	0.059329154980937056
24	B_pseudocatenulatum	2.8760162648944707
1	B_longum	47.46149093919243
2	B_longum	5.6071878522841025
3	B_longum	11.724644872006913
4	B_longum	2.6335521916066056
5	B_longum	12.886706917322114
6	B_longum	7.348309072290562
7	B_longum	92.61710665897809
9	B_longum	4.756434596159328
11	B_longum	38.67523131298729
12	B_longum	83.54411511533884
13	B_longum	79.36461407908226
14	B_longum	2.4006023291816514
15	B_longum	44.58332190554191
16	B_longum	4.263805804562529
17	B_longum	0.4963261088349021
18	B_longum	14.655067944415446
19	B_longum	25.543242003580353
20	B_longum	27.345008039042433
21	B_longum	3.6255277987115018
23	B_longum	0.2612652380384163
24	B_longum	3.4443935888416086
1	B_dentium	3.0505595589253818
2	B_dentium	21.07129507401645
3	B_dentium	4.419622704222067
4	B_dentium	0.007800715386954925
5	B_dentium	10.594345521287092
6	B_dentium	4.386431099070605
7	B_dentium	0.39146230546668664
9	B_dentium	0.024182445987161894
11	B_dentium	0
12	B_dentium	5.624165785888096
13	B_dentium	0.16239920755032355
14	B_dentium	0.03433192228626539
15	B_dentium	0.0859053105421987
16	B_dentium	0.07366586224033446
17	B_dentium	38.851814921750346
18	B_dentium	25.667063299328525
19	B_dentium	11.049340970689412
20	B_dentium	0.21537359034324924
21	B_dentium	0
23	B_dentium	98.40103337869941
24	B_dentium	0.014480654357955258
1	B_breve	8.831367993907298
2	B_breve	45.183744863685746
3	B_breve	0.03668930185659692
4	B_breve	29.078316991272846
5	B_breve	33.934428823339424
6	B_breve	8.004199774456557
7	B_breve	1.1447561535319029
9	B_breve	48.50796915900947
11	B_breve	6.955523371429
12	B_breve	0.13116445030367394
13	B_breve	0.24312254818266138
14	B_breve	19.43467157351879
15	B_breve	33.44075004691052
16	B_breve	34.14454444217819
17	B_breve	32.731782248419535
18	B_breve	0.35110101346483596
19	B_breve	0.1720612415404257
20	B_breve	0.015502771397922253
21	B_breve	32.76930512699815
23	B_breve	0
24	B_breve	0.026307298110111642
1	B_bifidum	28.932826452598636
2	B_bifidum	0.09947542983571948
3	B_bifidum	82.6628667032601
4	B_bifidum	36.866641073308315
5	B_bifidum	26.94120025228497
6	B_bifidum	31.77181225452707
7	B_bifidum	1.2489471622555357
9	B_bifidum	45.21851145653672
11	B_bifidum	39.78358259355701
12	B_bifidum	10.451979363052928
13	B_bifidum	2.816463646997412
14	B_bifidum	53.59206059987296
15	B_bifidum	18.654568324117328
16	B_bifidum	2.766093385064954
17	B_bifidum	27.878751834157754
18	B_bifidum	15.212659674863
19	B_bifidum	44.65667597563209
20	B_bifidum	65.34986274431314
21	B_bifidum	18.14703067699137
23	B_bifidum	1.1529549006633018
24	B_bifidum	92.86443639756708
1	B_animalis	1.3937942952864733
2	B_animalis	0.37361482799231777
3	B_animalis	0.21286506534482907
4	B_animalis	0
5	B_animalis	0.9949133807058742
6	B_animalis	30.427625183092022
7	B_animalis	2.485663754305918
9	B_animalis	0.19764551910392644
11	B_animalis	3.0556576942991573
12	B_animalis	0.104493801718118
13	B_animalis	17.272928987664848
14	B_animalis	2.2500550782625317
15	B_animalis	0
16	B_animalis	48.91998664900063
17	B_animalis	0.027952610660464065
18	B_animalis	0.25167248892879596
19	B_animalis	0.5101770700251259
20	B_animalis	0.06029363450590401
21	B_animalis	0.7353630541390815
23	B_animalis	0.04706278960513151
24	B_animalis	0.23948953598116676
1	B_adolescentis	3.7161254655680853
2	B_adolescentis	7.098800349150011
3	B_adolescentis	0.003084074589862024
4	B_adolescentis	31.385082753319466
5	B_adolescentis	0.33375653627578505
6	B_adolescentis	15.180110697758822
7	B_adolescentis	1.1995625574752742
9	B_adolescentis	0.11365200636758664
11	B_adolescentis	0
12	B_adolescentis	0.051941732656659675
13	B_adolescentis	0.034343139504455375
14	B_adolescentis	15.518161263701327
15	B_adolescentis	0.017623691020036972
16	B_adolescentis	9.78215283123625
17	B_adolescentis	4.553450539769744e-4
18	B_adolescentis	1.1883235415638902
19	B_adolescentis	11.413188810957088
20	B_adolescentis	6.969827910748181
21	B_adolescentis	44.27157178122227
23	B_adolescentis	0.07835453801279875
24	B_adolescentis	0.5348762602476239
1	Other	1.1269268234246084
2	Other	20.393812388064198
3	Other	0
4	Other	0
5	Other	0
6	Other	0
7	Other	0.8310903616382072
9	Other	0.019969045920159224
11	Other	0
12	Other	0
13	Other	6.719877220666611e-4
14	Other	3.7951200776212177
15	Other	0
16	Other	0.0456261217022008
17	Other	0
18	Other	0
19	Other	0.0075177626706546975
20	Other	0
21	Other	0
23	Other	0
24	Other	0
