weeks	family	value
1	Veillonellaceae	7.094439824947246
2	Veillonellaceae	0.33179351965313175
3	Veillonellaceae	0.027582500000000006
4	Veillonellaceae	0.7612024714549073
5	Veillonellaceae	8.079224919207752
6	Veillonellaceae	16.334162679239235
7	Veillonellaceae	0
8	Veillonellaceae	0.9737399513130025
9	Veillonellaceae	0.3483375348337535
10	Veillonellaceae	18.562219628755606
11	Veillonellaceae	2.067346666666667
12	Veillonellaceae	10.349160388093514
13	Veillonellaceae	4.459457388513566
14	Veillonellaceae	1.4210200812011475
15	Veillonellaceae	0.053765
16	Veillonellaceae	19.454637315154574
17	Veillonellaceae	1.8319250915962544
18	Veillonellaceae	0.16341996731600653
19	Veillonellaceae	8.772889999999999
20	Veillonellaceae	10.85298707648239
21	Veillonellaceae	0.19689996062000786
22	Veillonellaceae	0.8547403418961369
24	Veillonellaceae	0.24468002446800247
1	Staphylococcaceae	30.071898541624563
2	Staphylococcaceae	36.39219422375899
3	Staphylococcaceae	16.4912325
4	Staphylococcaceae	24.909550315891863
5	Staphylococcaceae	5.801237441987626
6	Staphylococcaceae	2.556992723736864
7	Staphylococcaceae	0.030900000000000004
8	Staphylococcaceae	0
9	Staphylococcaceae	0.4705875470587547
10	Staphylococcaceae	0.3168379936632401
11	Staphylococcaceae	21.481637777777777
12	Staphylococcaceae	0.5341350200300633
13	Staphylococcaceae	0.27761749305956274
14	Staphylococcaceae	2.388057279317559
15	Staphylococcaceae	0.672545
16	Staphylococcaceae	0.731860024395334
17	Staphylococcaceae	0.1614800080740004
18	Staphylococcaceae	0.03428999314200137
19	Staphylococcaceae	0.040113333333333334
20	Staphylococcaceae	0.6507144530408593
21	Staphylococcaceae	0.018109996378000728
22	Staphylococcaceae	0.48701019480407803
24	Staphylococcaceae	0.029870002987000294
1	Ruminococcaceae	1.7549320036670455
2	Ruminococcaceae	2.405534046896057
3	Ruminococcaceae	3.863927500000001
4	Ruminococcaceae	0.348224986941563
5	Ruminococcaceae	1.5590569844094302
6	Ruminococcaceae	1.209902605866478
7	Ruminococcaceae	0
8	Ruminococcaceae	4.223174788841261
9	Ruminococcaceae	0.05870500587050059
10	Ruminococcaceae	0
11	Ruminococcaceae	0.040524444444444446
12	Ruminococcaceae	0.6218350233188132
13	Ruminococcaceae	4.475769888105753
