weeks	family	value
1	Veillonellaceae	3.615550545851171
2	Veillonellaceae	2.9825553793847246
3	Veillonellaceae	0.23809499999999997
4	Veillonellaceae	5.7083434287875114
5	Veillonellaceae	11.191116130501984
6	Veillonellaceae	14.521531917862884
7	Veillonellaceae	0.039860001993000105
8	Veillonellaceae	0.9737399513130025
9	Veillonellaceae	0.5325300639036077
10	Veillonellaceae	18.562219628755606
11	Veillonellaceae	2.0802289999999997
12	Veillonellaceae	7.5813106498266265
13	Veillonellaceae	4.077609909386446
14	Veillonellaceae	6.483146157490641
15	Veillonellaceae	1.440282
16	Veillonellaceae	8.69649875
17	Veillonellaceae	8.115698874379925
18	Veillonellaceae	5.523232403097654
19	Veillonellaceae	4.002682229107874
20	Veillonellaceae	8.57269202627266
21	Veillonellaceae	3.4731103473110347
22	Veillonellaceae	0.8547403418961369
23	Veillonellaceae	0.394250039425004
24	Veillonellaceae	2.602262630113132
1	Staphylococcaceae	18.931870482755528
2	Staphylococcaceae	35.27739247569926
3	Staphylococcaceae	11.011448333333334
4	Staphylococcaceae	18.256666608848487
5	Staphylococcaceae	7.806684328789862
6	Staphylococcaceae	2.2790090155005007
7	Staphylococcaceae	0.23576751178837557
8	Staphylococcaceae	0
9	Staphylococcaceae	0.6470540776464894
10	Staphylococcaceae	0.3168379936632401
11	Staphylococcaceae	19.354726
12	Staphylococcaceae	0.34251431507265556
13	Staphylococcaceae	0.2196688840073581
14	Staphylococcaceae	1.6565500828275042
15	Staphylococcaceae	0.269018
16	Staphylococcaceae	2.537805
17	Staphylococcaceae	0.46032503068833536
18	Staphylococcaceae	0.09541334605511281
19	Staphylococcaceae	0.05385858220028787
20	Staphylococcaceae	0.4302010107747844
21	Staphylococcaceae	0.021452502145250216
22	Staphylococcaceae	0.48701019480407803
23	Staphylococcaceae	0.06738000673800068
24	Staphylococcaceae	0.021772501088625055
1	Ruminococcaceae	2.374908509006523
2	Ruminococcaceae	2.719253299342667
3	Ruminococcaceae	2.5904583333333333
4	Ruminococcaceae	0.2533627180595376
5	Ruminococcaceae	1.3563436836097231
6	Ruminococcaceae	1.0754689486371638
7	Ruminococcaceae	0.011125000556250026
8	Ruminococcaceae	4.223174788841261
9	Ruminococcaceae	0.07002600840312101
10	Ruminococcaceae	0
11	Ruminococcaceae	0.036472
12	Ruminococcaceae	0.37954360396088027
13	Ruminococcaceae	2.2044321732348404
14	Ruminococcaceae	0.17067250853362545
15	Ruminococcaceae	9.713762
16	Ruminococcaceae	2.019425
17	Ruminococcaceae	0.050388336692555775
18	Ruminococcaceae	5.612294081639211
19	Ruminococcaceae	0.6183101236620248
20	Ruminococcaceae	4.664441102504261
21	Ruminococcaceae	3.5636403563640355
22	Ruminococcaceae	0.1441400576560231
23	Ruminococcaceae	17.72033177203318
24	Ruminococcaceae	2.7880026394001325
1	Lachnospiraceae	2.938115393855883
2	Lachnospiraceae	1.303183733710203
3	Lachnospiraceae	0.38309
