weeks	family	value
1	Veillonellaceae	0.5794921827350822
2	Veillonellaceae	9.420120269146294
3	Veillonellaceae	0.65912
4	Veillonellaceae	18.90071936997602
5	Veillonellaceae	20.08223371193618
6	Veillonellaceae	0.02048999590200082
7	Veillonellaceae	0.05314667020977803
9	Veillonellaceae	1.2693002538600509
11	Veillonellaceae	2.19617
12	Veillonellaceae	3.8908439169599207
13	Veillonellaceae	3.7721319245573612
14	Veillonellaceae	13.5701225428049
15	Veillonellaceae	2.364626666666667
16	Veillonellaceae	2.2416159551676804
17	Veillonellaceae	11.257585844318939
18	Veillonellaceae	6.595195319039063
19	Veillonellaceae	0.4250251487588021
20	Veillonellaceae	4.582175916435183
21	Veillonellaceae	4.5651809130361825
23	Veillonellaceae	0.394250039425004
24	Veillonellaceae	3.3881234462707828
1	Staphylococcaceae	9.20986652111603
2	Staphylococcaceae	32.57001664485762
3	Staphylococcaceae	0.051880000000000016
4	Staphylococcaceae	0.5156433161452229
5	Staphylococcaceae	13.53653247038479
6	Staphylococcaceae	0.0551399889720022
7	Staphylococcaceae	0.3040566869371124
9	Staphylococcaceae	1.3529202705840542
11	Staphylococcaceae	0.21252
12	Staphylococcaceae	0.08702001305300196
13	Staphylococcaceae	0.17330999653380008
14	Staphylococcaceae	0.632440025297601
15	Staphylococcaceae	0
16	Staphylococcaceae	3.621371927572562
17	Staphylococcaceae	0.6097475457310659
18	Staphylococcaceae	0.1076380215276043
19	Staphylococcaceae	0.06416752245863286
20	Staphylococcaceae	0.04430250886050177
21	Staphylococcaceae	0.022566671180000903
23	Staphylococcaceae	0.06738000673800068
24	Staphylococcaceae	0.019073333969111136
1	Ruminococcaceae	2.9159676525905596
2	Ruminococcaceae	3.4811429566040846
3	Ruminococcaceae	0.043519999999999996
4	Ruminococcaceae	3.96666653444445e-4
5	Ruminococcaceae	0.7771628349382047
6	Ruminococcaceae	0
7	Ruminococcaceae	0.014833334322222289
9	Ruminococcaceae	0.11531002306200461
11	Ruminococcaceae	0
12	Ruminococcaceae	0.0564883418065846
13	Ruminococcaceae	0.3873619922527602
14	Ruminococcaceae	0.00591400023656001
15	Ruminococcaceae	16.18245333333333
16	Ruminococcaceae	0.9995919800081604
17	Ruminococcaceae	0
18	Ruminococcaceae	6.7347533469506695
19	Ruminococcaceae	0.11775004121251442
20	Ruminococcaceae	10.261394552278908
21	Ruminococcaceae	4.75152095030419
23	Ruminococcaceae	17.72033177203318
24	Ruminococcaceae	1.9916333997211135
1	Lachnospiraceae	3.695369597450692
2	Lachnospiraceae	2.890098654002818
3	Lachnospiraceae	0.057485
4	Lachnospiraceae	0.01694999943500002
5	Lachnospiraceae	3.466202758108493
